abertura_lances,trim
2011-03-01,1
2011-06-10,2
2011-09-20,3
2012-01-17,4
2012-04-01,5
2012-07-01,6
2012-10-01,7
2013-01-01,8
2013-04-01,9
2013-07-01,10
2013-10-07,11
2014-01-02,12
2014-04-01,13
2014-07-01,14
2014-10-01,15
2015-01-01,16
2015-04-01,17
2015-07-01,18
2015-10-01,19
2015-12-31,20
