abertura_lances,trim
2012-01-17,1
2012-05-17,2
2012-09-17,3
2013-01-02,4
2013-05-02,5
2013-09-02,6
2014-01-02,7
2014-05-02,8
2014-09-02,9
2015-01-01,10
2015-05-01,11
2015-09-01,12
2015-12-31,13
